46,11,72,11,72,51,46,51,44,
79,11,105,11,105,52,79,52,13,
112,10,138,10,138,51,112,51,32,
145,10,171,10,171,51,145,51,13,
178,10,206,10,206,50,178,50,52,
212,10,236,10,236,50,212,50,27,
244,12,271,12,271,49,244,49,43,
277,12,303,12,303,49,277,49,32,
380,9,405,9,405,50,380,50,27,
413,9,438,9,438,49,413,49,13,
446,11,472,11,472,50,446,50,22,
480,12,504,12,504,50,480,50,10,
512,10,539,10,539,50,512,50,52,
345,10,373,10,373,51,345,51,52,
313,13,339,13,339,51,313,51,6,
14,12,39,12,39,50,14,50,6,
