319,3,349,3,349,54,319,54,22,
360,3,392,3,392,54,360,54,22,
493,3,525,3,525,52,493,52,45,
583,3,618,3,618,55,583,55,43,
626,4,660,4,660,55,626,55,27,
670,4,703,4,703,55,670,55,27,
713,3,747,3,747,55,713,55,26,
543,5,574,5,574,55,543,55,6,
448,3,482,3,482,55,448,55,48,
406,3,441,3,441,54,406,54,13,
275,3,308,3,308,53,275,53,10,
229,3,265,3,265,54,229,54,32,
187,2,221,2,221,55,187,55,48,
144,3,178,3,178,56,144,56,28,
100,4,135,4,135,55,100,55,27,
58,2,93,2,93,53,58,53,9,
11,3,48,3,48,54,11,54,6,
