35,8,59,8,59,51,35,51,22,
2,8,26,8,26,52,2,52,6,
71,9,100,9,100,51,71,51,10,
107,8,136,8,136,50,107,50,1,
144,8,173,8,173,54,144,54,43,
180,8,212,8,212,53,180,53,48,
218,8,246,8,246,52,218,52,13,
254,8,283,8,283,52,254,52,48,
292,9,321,9,321,53,292,53,45,
369,9,398,9,398,52,369,52,23,
405,10,437,10,437,53,405,53,28,
442,8,471,8,471,53,442,53,42,
478,8,507,8,507,53,478,53,42,
514,8,545,8,545,53,514,53,27,
553,8,582,8,582,53,553,53,43,
590,9,619,9,619,53,590,53,52,
332,11,362,11,362,53,332,53,6,
